name,alexa_rank,city,state,country,hq,website,employees_on_linkedin,followers,founded,industry,linkedin_url,overview,ownership_type,sic_codes,size,specialties,total_funding,technologies,company_hubs,events,categories,type
Baarb,,Los Angeles,California,United States,"Los Angeles, CA",http://baarbpro.com,2,128,2016,"Leisure, Travel & Tourism",https://www.linkedin.com/company/baarb,"BaarbPro is a game-changing AI-based B2B platform pioneering hyper-relevant search results and discovery-driven intelligence for the travel industry. 

We're helping global brands level the playing field by understanding traveler intent, in their own words, and analyzing massive amounts of data to match travelers to the most relevant results so they find what they want sooner, and convert. And brands capture rich data about what their customers care about most.

Founded in 2016 by Barbara Parshall, Baarb, Inc. is a venture-backed startup with prominent investors including Quake Capital, Rockstart AI Fund, travel industry presidents, and Google and Accenture executives.

We are looking for people who share our vision with an ambition to change the world.

To find out more, view https://www.baarbpro.com.",Privately Held,,2-10 employees,"SaaS, Booking, Big Data, Hotel, Search, Hospitality, , Travel, Accommodations, Artificial Intelligence, Machine Learning, Personalization, Deep Learning, Online travel, and Technology",150000,,,,"Mobile, Artificial Intelligence, Travel, Hotel, SaaS, , Tourism, Machine Learning",B2B
伊藤忠インタラクティブ株式会社,,Minato City,Tokyo,Japan,"港区, 東京都",http://www.market.co.jp,9,8,,,https://www.linkedin.com/company/伊藤忠インタラクティブ株式会社,デジタルマーケティング事業\tO2Oプラットフォーム事業\tオム二チャネルソリューション事業\tBtoC／CtoCサービス開発・運営\tBtoCソリューション事業\tビジネスイノベーション／インキュベーション事業,,,51-200 employees,,0,"Amazon Cloudfront, Amazon Web Services, Eloqua",,,"Digital Marketing,",B2C
OXIBIZ,,São Paulo,State of São Paulo,Brazil,"São Paulo, São Paulo, Brazil",http://www.oxibiz.com,0,22,2012,Internet,https://www.linkedin.com/company/oxibiz,"The Oxibiz is the first and only social network e-commerce and business, where the user creates the profile of your business and not your personal profile. Companies and individuals with business of any size have the opportunity to build a store, e-commerce, import your own store for free in Oxibiz.

Our goal is not to be more of a business hub in the market but the main business hub of the market. To believe that from OXIBIZ, small and medium enterprises, as well as qualified professionals will need to join the network.

We want to add value to your business, think practically, therefore integrate our other networks. No matter if a user already has an e-commerce on your website or elsewhere, with OXIBIZ you will have opportunities, relationships, tools and partners to make your business a great deal online and from us, your business will appear to the world.

The shops of our users have the Oxipag our payment gateway that besides offering all forms of payments such as Visa, Master, Amex and dockets, we also provide the Exchange Biz as a new and different form of payment. (Oxipag - Payment Gateway with virtual currency in exchange for payments)
Connect your Instagram, Ebay, Mercado Libre, Facebook and Linkedin in your profile your business in Oxibiz.
Create coupons and deals, and share in Oxibiz, Facebook and other networks.
Create ads, make partners, discuss, share and short.

The Oxibiz is starting for your business!",Privately Held,,2-10 employees,"rede social, plugins, e-commerce, aplicativos, gateway de pagamento, ferramentas de e-commerce, network",0,Microsoft ASP.NET,,,"Internet, E-Commerce, Small and Medium Businesses, , Payments",B2B
Adpearance,320056,Portland,Oregon,United States,"Portland, Oregon",https://adpearance.com/,111,4891,2009,Marketing and Advertising,https://www.linkedin.com/company/adpearance,"Adpearance | 4,891 followers on LinkedIn. Adpearance is the digital marketing company obsessed with generating quality leads. | Adpearance is a digital marketing company based in Portland, OR. Using a combination of technology and service, Adpearance helps clients who sell offline create better buying experiences that drive more sales. These transformations are made possible with digital solutions that address problems with websites, search, awareness, and customer relationships.",Privately Held,8742,51-200 employees,"Social Media Marketing (SMM), Digital Advertising, Web Design & Development, Search Engine Optimization (SEO), Search Engine Marketing (SEM), Technology Solutions, Content Marketing, Sales Technology, Automotive Digital Marketing, Paid Per Click Marketing (PPC)",0,"Amazon Cloudfront, Java, Olark, Pardot, Salesforce, YouTube, Salesforce Pardot",Inc. 5000 2020: 5000 Fastest-Growing Private Companies,,"Information Technology, Software, Advertising, Marketing,",B2B
Natural Machines,194223,Barcelona,Catalonia,Spain,"Barcelona, Barcelona",https://www.naturalmachines.com,16,2918,2012,Consumer Electronics,https://www.linkedin.com/company/natural-machines,"Natural Machines is a start-up that combines food, technology, art and community to create something unique.

We are creating a new generation kitchen appliance. (The techie explanation: A 3D food printer.) Make real, homemade food with fresh ingredients.",Privately Held,,11-50 employees,"Community, Food, Technology, Internet of Things (IoT), 3D printing, and Food Tech",4090417,"Amazon Cloudfront, Stripe, Zoho CRM, Google AdWords",,,"Software, Robotics, Computer Vision, Energy Efficiency, Sustainability, , Personalization, Nutrition,",B2B B2C
Connected Freight,,,,Singapore,"Singapore, SG",https://www.connectedfreight.com/,62,3399,2018,Computer Software,https://www.linkedin.com/company/connected-freight,"Connected Freight is a B2B logistics platform for the SMEs, operating in Southeast Asia. 

On the platform, suppliers of goods can receive and manage orders from their business customers, secure trucks from a pool of accredited 3PLs and monitor delivery status real time.

With Connected Freight, all supply chain activities are automated and interconnected resulting in optimized, reliable and cost-effective operations. Through our proprietary truck-sharing technology, we maximize usage of vehicles, reduce traffic and emissions, making megacities a better place to live.",Privately Held,,51-200 employees,"Technology, Route Optimization, Mobile, Logistics, Delivery, , Supply Chain, Online Order Management Software, Supply Chain Management, Operations,  E-Commerce",0,"Unbounce, YouTube, Google AdWords",,,"Logistics, Supply Chain Management,",B2B
"Beijing foreign enterprise human resources service Co., Employees, Location, Careers",136258,,,,"北京, 北京",http://www.fesco.com.cn,1027,4831,1979,Human Resources,https://www.linkedin.com/company/beijing-foreign-enterprise-human-resources-service-co--ltd-,"As a leading company in China's HR service industry, FESCO provides service to more than 10,000 customers from hundreds of countries and regions as well as  almost 500,000 domestic and overseas employees working for these institutions. The customers include a large amount of leading multinational companies, wholly owned foreign enterprises, joint ventures of Chinese companies and foreign companies, cooperative companies of Chinese companies and foreign companies, state-owned enterprises, private businesses, covering high-tech industries like communication electronics, IT, bio-technology, Internet, automobile and many other industries such as petrochemical, medical, financial and fast consumables industry.",Partnership,,1001-5000 employees,,0,Java,,,"Financial Services, Human Resources,",B2B
Vogel Communications & Co. KG,,Würzburg,Bavaria,Germany,"Würzburg, Bayern",http://www.vogel.de,268,3051,1891,Media Production,https://www.linkedin.com/company/vogel-communications-group,"Vogel Communications Group ist einer der führenden Dienstleister für B2B-Kommunikation im deutschsprachigen Raum. Hauptsitz ist Würzburg. Mit vier Agenturen am Berliner Standort bietet die Gruppe umfassende Kommunikationskompetenzen. Die Angebote der Gruppe reichen von Fachmedien, Corporate Publishing, Social-Media-Services, PR, Messedienstleistungen, Netzwerken und Communitys bis zu Market Intelligence & Insights sowie einem hauseigenen Kongresszentrum. Die Publishingbereiche führen 100+ Fachzeitschriften, 100+ Webportale, 100+ Business-Events sowie zahlreiche mobile Angebote und internationale Aktivitäten. Die Print- und Digital-Medien eröffnen den Zugang in 14 Branchen in den fünf Wirtschaftsfeldern Industrie, Automobil, Informationstechnologie, Recht/Wirtschaft/ Steuern und B2B-Kommunikation.",Self Owned,,501-1000 employees,"Strategie, Medien, Content, Marketing, , SEO, Social Media, Kommunikation, Marktforschung, Lead Generierung",0,"YouTube, Yahoo Ads, Google AdWords, Microsoft Office 365",,,"Publishing, Media and Entertainment,",B2B
Agrimap,,Christchurch,Canterbury,New Zealand,Christchurch,http://www.agrimap.com,4,104,2013,Computer Software,https://www.linkedin.com/company/agrimap,"The next wave of Unicorns will be in Agritech, the new frontier. Agrimap has the platform that is doing for farming what Salesforce has done for sales teams. Agrimap - the biggest disruption in agriculture since the green revolution.

Good management processes, communication and record keeping is key to the success of any farm or business, but is more complex and expensive than it should be. We're fixing that.

Agrimap is the SaaS that makes it easy for farmers and Agribusinesses to manage data, operations and activities on the farm. 

Visit our site: www.agrimap.com. 14 Day free trial available.",Privately Held,,11-50 employees,"Sustainable Farming, Cloud Based software, Agri360 - Cloud based Farm Management software, and Innovation and  Spatial Technology",1280000,,,,"Farming, Agriculture, SaaS,",B2B
ApexQubit,,Berkeley,California,United States,"Berkeley, California",https://www.apexqubit.com/,8,523,2018,Biotechnology,https://www.linkedin.com/company/apexqubit,"ApexQubit is a biotechnology company that is harnessing frontier technologies for discovery of new medicines and better health for humanity.

https://www.apexqubit.com/

#ArtificialIntelligence #BioTech #DeepTech #QuantumComputing #FrontierTech #B2B #Startup #RNA #DrugDesign #HealthTech",Privately Held,,11-50 employees,"Artificial Intelligence, Therapeutics, Quantum Computing, BioTech, Quantum Machine Learning, DeepTech, FrontierTech",525000,,,,"Information Technology, Artificial Intelligence, Biotechnology, Quantum Computing, Life Science, Therapeutics, , Machine Learning",B2B
imPloie,,Centennial,Colorado,United States,"Centennial, Colorado",https://www.imploie.com,0,15,2017,Information Technology and Services,https://www.linkedin.com/company/imploie,imPloie focuses on pairing the right employer to the right employee through the use of software and big data analytics.  Our Speciality lies in the ability to find highly qualified and talented employees and match them to the right opportunity.  We screen and search for potential employees so companies can do what they do best.,Privately Held,,2-10 employees,Employment Solutions,0,"Google Cloud, Google Cloud DNS",,,"Internet, Association, Human Resources, Education,",B2B
Additor,,Seocho-gu,Seoul,South Korea,"Seocho-gu, Seoul",https://additor.io,7,64,2017,Information Technology and Services,https://www.linkedin.com/company/additor,Additor is the best collaborative knowledge library for brilliant teams. Turn your or your team's scattered knowledge into a well-organized and visualized collection. Don't miss the chance for your members to contribute to share insights of their own.,Privately Held,,2-10 employees,"SaaS, productivity, collaboration, and Data",0,"Amplitude, Nodejs, Expressjs, Amazon SES","Companies with a .IO domain, Techstars Portfolio Companies",,"Apps, Enterprise, Productivity Tools, Document Management, SaaS, , Knowledge Management, , Collaboration",B2B B2C
Grow Hack Scale,,London,England,United Kingdom,"Remote, Worldwide, London",https://growhackscale.com,7,55,2016,Marketing and Advertising,https://www.linkedin.com/company/grow-hack-scale,"Who We Are

We're on a mission to teach the world how to do marketing better so they can better serve the people they care about.

We're a B2C & B2B growth marketing company that teaches and implements fast-growth product marketing strategies for organisations with products designed to make the world a better place.

We're engineers, doctors, artists, parents and leaders. But most importantly, we're people who care deeply about the social impact of our work.

Permission-First Marketing Philosophy

Every marketing activity is performed with three important values in mind: Congruence, Permission and Transparency.

Congruence: Congruence is about consistency. Marketing with congruence ensures your brand awareness, lead generation and customer nurturing campaigns are tailored specifically to your brand’s voice, image and target audience(s).

Permission: Unlike interruption marketing, we aim to foster caring, long-term relationships with prospective customers and clients who give us permission to market to them whilst helping them overcome key objections.

Transparency: Being transparent gives us confidence to manage and execute effective marketing campaigns whilst managing expectations on both sides. Without transparency, there is no trust - but with it, problems get solved, ideas are generated and people do their best work.

Whilst we do employ many, fast-growth marketing strategies, we always put the end-user first. And take a permission-first approach to all our activities.",Public Company,,2-10 employees,"Inbound Marketing, Search Engine Optimisation, Product Marketing, and Conversational Marketing",0,"New Relic, Next.js, LinkedIn Ads",,,"Marketing, ,",B2B B2C
IDS Soluciones Ecommerce,,Buenos Aires,Buenos Aires,Argentina,"Capital Federal, Buenos Aires",http://www.ids.net.ar,2,347,2005,Information Technology and Services,https://www.linkedin.com/company/investigaciones-desarrollos-y-soluciones-srl-ids-,"Desde diciembre de 2005, IDS provee productos y servicios de calidad para el mercado de IT en argentina y en el exterior.
En conjunto, nos especializamos en el desarrollo de Soluciones E-commerce a medida, con alto valor agregado para nuestros clientes, y una marcada orientación a resultados mensurables.

Nuestra filosofía:
Entender el modelo de negocio de nuestros clientes para desarrollar propuestas que agreguen valor proponiendo soluciones específicas.

Entablar vínculos de confianza: Entendemos que los mejores desarrollos se hacen ""junto"" al cliente; especiamente cuando incluyen áreas o procesos sensibles para la compañía. La fluida interacción es vital.

Soluciones integrales: Proveemos todos los servicios de apoyo necesarios para garantizar la calidad y solidez de los produtos finales.",Privately Held,,11-50 employees,"Desarrollo de Software, e-commerce, Desarrollo Web, Software Outsourcing, Soluciones E-commerce, Consultoria en E-commerce, and Plataforma E-commerce",0,,,,"E-Commerce, ,",B2B B2C
Topcurve,,Redwood City,California,United States,"Redwood City, CA",http://www.topcurve.com/,3,33,2006,Marketing and Advertising,https://www.linkedin.com/company/topcurve,"Holistic Sales + Marketing = More Revenues In the past, Marketing and Sales would work with different goals: Marketing would generate leads, Sales would close those leads. The problem with this approach is that Marketing is on the sidelines cheerleading, while Sales on the field closing the deals.

Topcurve saw companies were leaving a lot of potential revenues on the table, so we started to advice our clients to collaborate more. Now, marketing is the co-pilot, and sales is the pilot. The biggest impact with the holistic marketing ahd sales approach is that marketing is able to work in parallel with sales.",Privately Held,,11-50 employees,"Traffic Generation, Lead Generation, Demand Generation, Revenue Generation",0,,,,"Information Technology, Consulting, Enterprise Software,",B2B
Jaagodeal,,,,,"Dhaka-1230, Dhaka Division",https://www.jaagodeal.com,9,1361,2018,Apparel & Fashion,https://www.linkedin.com/company/jaagodeal,"Jaagodeal - is a new e-commerce platform that combines curation and discovery, with the convenience you’ve come to expect. We aim to be the go-to shopping destination for all your lifestyle needs and wants, from women’s and men’s fashion to beauty, home decor and many more. 

A new way to shop | love shopping.",Privately Held,,11-50 employees,"pet supplies, hoodies, shoes, underwear, etc., home decor, online shopping, etc, tops, scarves, sunglasses, bags, jeans, pants, bottoms, outerwear, led lights, gloves, makeup brush, belts, personal care products, kitchen tools, hats, intimate, Accessories: jewelry, Beuty products: Makeup, Men clothes: Men shirts, Women's fashion : Dresses, e-commerce in bangladesh, novelty gadgets, plus cothes, wathes, ecommerce wesite",0,Magento,,,"Retail, E-Commerce, Fashion,",B2C
ROUND2,,St. Louis,Missouri,United States,"St Louis, Missouri",http://www.round2.io,2,44,2018,Sporting Goods,https://www.linkedin.com/company/round2technologies,"Finding the right sporting goods can be time consuming and complex, not to mention expensive. So we reimagined a better way. We eliminated the need to search several sites and scroll through irrelevant results to find the perfect sporting goods. ROUND2, an AI-powered sporting goods platform connects youth athletes to affordable gear by aggregating goods from the top online retailers and brands and displaying the best results based on the individual athletes needs. We launched a year ago and have helped thousands of athletes find the gear for them.

Backed by a top 5% accelerator (Capital Innovators, Winter 2019), we were founded in '18 by former pro athletes who realized how difficult it was to find high-quality sports gear online for the right prices. Since launching the marketplace, thousands have joined our community and contributed to our mission of making sporting goods more affordable.
.",Privately Held,,2-10 employees,,90000,Intercom,,,"QR Codes, E-Commerce, Sporting Goods, Peer to Peer, , Sports",B2C
Dunforce,,Barcelona,Catalonia,Spain,"Barcelona, CAT",http://www.dunforce.com,18,584,2016,Information Technology and Services,https://www.linkedin.com/company/dunforce,"DUNFORCE helps companies to better manage their invoice workflow by providing a smart and virtual assistant. It simplifies and accelerate the process of collecting payement. DUNFORCE offers : • INTEGRATION & COLLABORATION With its unique API, DUNFORCE integrates with any ERP or accounting software to centralise both the status of any debts and the whole collection process, enabling better collaboration between finance, sales and legal departments in this important subject of cash recovery. • AUTOMATED INTELLIGENT COLLECTION Our smart algorithm powered by AI will insure invoices are paid on time, reproducing human behaviour in order to send smart reminders to the clients (by email, SMS, post mail or calls). DUNFORCE solves this growing problem of late payments, respecting the client and saving stress, time and ressources ; • FINTECH PLATFORM Our SaaS platform can integrate any Fintech solutions, from payment (credit card, SEPA direct debit) to any other systems (factor, legal services...). DUNFORCE aims at credit manager, CFO or CEO, anyone involved and concerned by this collection process. Because poorly managed cash flows can put any business under a lot of pressure.",Privately Held,,11-50 employees,"Accounting, SAAS, Bookkeeping, automation, Fintech, Accounting Software, AI, RPA, accounts receivable, cash flow, Business productivity, Payment tracking, Invoices management, and Factoring",100000,HubSpot,,,"Artificial Intelligence, FinTech, , Payments",B2B
MARY's secret ingredients,,New York,New York,United States,"New York, NY, United States",http://www.maryssecretingredients.com/,0,25,2014,Food & Beverages,https://www.linkedin.com/company/mary's-secret-ingredients,"Experience the joy, excitement and inspiration that our surprise, curated, culinary subscription box brings to your home each season!

MARY's secret ingredients is a limited edition, culinary surprise, seasonal subscription box filled with unique, gourmet, products you've probably never heard of, but you need to know about, delivered right to your door. Every season, a limited number of curated boxes are filled with lovely surprises to inspire your cooking and eating.

In 2012, founder Mary F. Pisarkiewicz took her love of cooking out of the kitchen and onto the web by creating LOVE – the secret ingredient (http://lovethesecretingredient.net), a blog where she could share her best tips, recipes and stories to promote healthy cooking. Propelled by the energy and community of her 32,000+ followers, Mary is taking her passion one step further with MARY’s secret ingredients (MSI). Through MSI, Mary is helping smaller food companies promote their new products to an audience of millions of home cooks looking for fresh inspiration for their cooking. For the food manufacturer, there is no cost except for supplying the product. Mary creates custom recipes featuring each season’s exclusive products and promotes brand awareness on numerous digital and social channels.


In addition to promoting healthy eating, Mary is on a  mission to eradicate hunger. MSI gives back to the global community as a proud partner of the worldwide organization Feed The Children. Every year a portion of MSI’s profits will be donated to help in the fight against childhood hunger, because as Mary says, “No one should go hungry.”",Privately Held,,2-10 employees,"subscription box, brand promotion, culinary service, seasonal delivery",0,,,,"E-Commerce, Digital Media,",B2B
Luna Imaging,151684,Los Angeles,California,United States,"Los Angeles, CA",http://www.lunaimaging.com/,13,74,1993,Computer Software,https://www.linkedin.com/company/luna-imaging-inc.,"Formed with support from the J. Paul Getty Trust and Eastman Kodak Company, Luna Imaging Inc. is a respected leader in the digital imaging field. Luna provides both the highest quality services to convert collections into digital form, and its Insight® + LUNA software, which provides a complete visual environment for working online with high-resolution images and data from anywhere at anytime. 

Luna has built a solid reputation working with some of the most prominent and demanding museums, archives and universities from around the world to create high quality image collections and tools for working with these important digital resources.",Privately Held,7372,11-50 employees,"Libraries, Museums, Archives, Digital Image Collections, and Digitization",18000000,"Atlassian Jira, Google Cloud, MailChimp, Squarespace, Google Cloud DNS",Companies with HQ in the USA with employees outside of the USA,,"Software, Public Relations,",B2B
"Safened Employees, Location, Careers",,London,England,United Kingdom,"London, London",https://www.safened.com,29,2044,2015,Financial Services,https://www.linkedin.com/company/safened,"Safened | 2,043 followers on LinkedIn. The Global Liquidity Platform, raising deposit funding for banks & offering clients a way to diversify short-term cash! | Safened is a regulated Fintech company that has developed a B2B deposit platform, serviced by our proprietary technology and delivered via an easy-to-integrate solution. The platform seamlessly connects Partner Banks with broker-dealers and their clients, providing banks with a wholesale funding tool and investors with a convenient, diversified deposit product.    

Safened offers its deposit solutions globally, and we service our customers from 4 offices in London, New York and Amsterdam.",Privately Held,,11-50 employees,"API, Funding Strategies, Fintech, Deposits, Basel III, A1/P1 Banks, US Broker Dealers",14000000,"YouTube, Nodejs, Expressjs, Sendgrid",,,"Information Technology, FinTech,",B2B
Avobarks Marstan,,,,Unknown,,http://www.tradesparency.com,0,0,,Logistics and Supply Chain,https://www.linkedin.com/company/avobarks-marstan,Review and rate manufacturers and suppliers selling wholesale bulk. Wholesale has never been this easy!,,,2-10 employees,,0,,,,"E-Commerce, Enterprise Software,",B2B
Paynow,,Porto Alegre,State of Rio Grande do Sul,Brazil,"Porto Alegre, RS, Brazil",http://www.paynow.com.br,2,15,2017,Financial Services,https://www.linkedin.com/company/paynow-br,"Nós acreditamos que a saúde financeira é um passo importante para as pessoas conquistarem os seus sonhos e uma vida em plenitude. Somos motivados pelo propósito de simplificar e aproximar, através da tecnologia, pessoas e empresas na busca de soluções prática para as suas pendencias, trazendo resultado financeiro as empresas e, ao mesmo tempo, devolvendo tranquilidade e um nome limpo ao devedor.

Com o desenvolvimento de uma inteligência de dados extremamente segura e eficiente, conectamos nossa plataforma a empresas parceiras para viabilizar o contato e o diálogo entre credor e devedor de forma sigilosa e amigável.

A Paynow é uma plataforma web segura e intuitiva que permite que as pessoas realizem acertos de suas dívidas com as empresas cadastradas em nossa base de dados, de forma totalmente digital, oferecendo  condições, descontos e alternativas de pagamento.

",Privately Held,,2-10 employees,,0,Google AdWords,,,"Financial Services, FinTech, SaaS,",B2B
Modern,,Bristol,England,United Kingdom,"Bristol, England",http://modernb2b.co,106,2275,2010,Marketing and Advertising,https://www.linkedin.com/company/modernmedialimited,"Modern is a B2B marketing agency that delivers integrated digital campaigns and strategies that drive faster growth for technology companies.

Questions our clients faced recently:
- How can I build my pipeline fast?
- How can we ensure that our proposition is right for this new market?
- How can we use digital channels to better distribute our content?

B2B marketing can be better. It’s not just about pretty pictures and high profile campaigns.  It’s about understanding the complexities of an enterprise sale or the nuances of a consultative technical product, and being able to deliver the difference every time. 

We’re a team of B2B marketers with expertise in proposition development right through to analytics.  As modern day marketers, we need to deliver appropriate and targeted strategic solutions and executive them eloquently.

We've helped our clients to create multi-million dollar sales pipelines, position their brand in a new market, find elusive buyers and convert prospects into high value customers.

Our services include:
- B2B marketing strategy 
- B2B content marketing
- Social media marketing
- Marketing automation management
- Conversion strategies (SaaS products/trial to conversion)
- Campaign reporting
- Measurement and optimisation",Privately Held,,11-50 employees,"content strategy, lead generation, content marketing, email marketing, digital marketing, channel marketing, media buying, marketing automation, lead nurturing, Google Ads, ABM, growth strategies, account based marketing, sales enablement, b2b marketing strategy, b2b social media, campaign planning, LinkedIn advertising, Microsoft Ads, b2b digital marketing, buyer enablement, Eloqua implementation, Pardot Salesforce, Pardot training",0,"Next.js, YouTube, Drift, LinkedIn Ads",,,"Digital Marketing,",B2B
Quosap,,Oakland,California,United States,"Oakland, CA, United States",http://www.quosap.com,2,22,2011,Internet,https://www.linkedin.com/company/quosap,"Quosap is the only social collaborative platform that streamlines the buying and selling of goods and services for business-to-business transactions in the construction industry. Quosap offers an innovative solution to the current Supplier Relationship Management (SRM) practices. Through Quosap’s Collaborative Procurement Platform (CPP), businesses can obtain competitive quotes that cater to their specialized needs and with quotools they can manage and compare them in real time. Quosap also paves new avenues for suppliers to enter the market and create long term business-to-business relationships.

Quosap was recognized as a global top 50 most promising startups by Startup Open. The competition, which was supported by the Kauffman Foundation, featured applicants from over 60 countries.

Quosap was selected to participate in Start-up Chile 2012, which was sponsored by  the Chilean Government to attract world-class early stage entrepreneurs to start their businesses in Chile.",Privately Held,,2-10 employees,"supplier relationship management, procurement, quote proposal acquisition, quote tracker",0,,,,"Service Industry, Enterprise Software,",B2B
Perfume Bar Essenziale,,Recife,State of Pernambuco,Brazil,"Recife, Pernambuco, Brazil",https://perfumebaressenziale.com.br/,1,30,,Cosmetics,https://www.linkedin.com/company/perfume-bar-essenziale,"A Perfume Bar Essenziale é uma marca especializada em perfumes, cosméticos e aromas. Com uma vasta experiência na personalização, a empresa desenha, desenvolve e distribui seus produtos no Brasil, o quarto maior consumidor do mundo e o maior da América Latina neste segmento. A empresa tem seus escritórios centrais em Fortaleza (CE) e a sua unidade de expansão, desenvolvimento, produção e logística em Recife (PE). Os quiosques Perfume Bar Essenziale têm como público alvo as classes A | B | C, localizados em shoppings e galerias das principais cidades do Brasil, oferecem uma ampla gama de perfumes, produtos cosméticos e um serviço de atendimento personalizado com um nível de profissionalismo de alto padrão, conforme as normas e práticas Brasileiras e Europeias, resultado de um treinamento cuidado e acompanhamento constante.

Alinhado com o seu compromisso de democratização do setor de perfumaria, a Essenziale utiliza essências importadas de máxima qualidade, através de empresas Europeias, conceituadas mundialmente e desenvolve seus produtos com um alto nível de qualidade e exigência. A empresa promove a excelência dos seus produtos, assim como a valorização pessoal de seu staff e o sucesso dos Franqueados, através de um apoio profissional, seguindo conceitos e valores tradicionais e destacando o diferencial da empresa no seu modelo de franquia.",Partnership,,2-10 employees,"marketing, , consultoria, negocios, perfumes, franquia, cosmeticos, comercio, gerenciamento, and know how internacional, busca novos mercados, desenvolvimento produtos",0,,,,"Wellness, Cosmetics, , , Personal Health",B2B B2C
iComplied Pty,,Melbourne,Victoria,Australia,"Melbourne, Vic",https://www.icomplied.com,1,77,2016,Computer Software,https://www.linkedin.com/company/icomplied-pty-ltd,"iComplied is a new PaaS (Platform-as-a-Service) Audit Compliance Platform that will help you manage all your internal compliance activities across iOS/Android devices. iComplied can do this by:

• Providing modules across the audit lifecyle - Audits, CAR Management, Risk Management, Document Management.
• Allows you to use data and benchmark across sites, audits, CARs and Risk.
• Cloud based system – access anytime, anywhere.
• Secure – the application is completely secure and encrypted.
• Can also be used as a non-conformance/ complaint management tool with business CAR's 

With iComplied you can access a range of checklist that are provided across categories such as Food Safety, Quality, Environmental, OHS, Business Planning, Supply Chain, Ethical and Sourcing. These checklist cater to Gap assessments as well as internal audit services. The platform gives you the flexibility in creating your own checklist to suit your industry / organisational requirements.",Privately Held,,2-10 employees,"Risk Management, Quality Assurance, Document Management, Mobile Apps, Corrective Action Management, Internal Compliance, Audit Tool, Companion iOS and Android Apps, Mobile Audit Platform, Trending and Analysis, and In Built Checklist",150000,HubSpot,,,"Mobile, Software, Mobile Apps, SaaS,",B2B
B2B2000,,Derio,Basque Country,Spain,"Derio, Vizcaya",http://www.b2b2000.com,18,550,1999,Information Technology and Services,https://www.linkedin.com/company/b2b2000,"B2B 2000 es una empresa tecnológica líder, especialista en la integración de sistemas de gestión y en la implantación de soluciones de comercio electrónico y gestión de conocimiento, con una amplia experiencia en el desarrollo de Portales Web 2.0, Intranets, Extranets (Proveedores, Servicios Técnicos e Incidencias), soluciones B2B y B2C y en la implantación de arquitecturas de integración de grandes organizaciones. 

B2B 2000 está formada por un grupo de profesionales con amplia experiencia en el mundo empresarial, las telecomunicaciones y las tecnologías de la información, los cuales asesoran a las organizaciones, tanto del sector privado como del público a nivel nacional e internacional, identificando los puntos de mejora que aprovechen el rápido avance tecnológico y satisfagan los requisitos crecientes de los usuarios mediante la optimización de sus propios recursos y su incorporación rápida y eficaz a la sociedad de la información.",Privately Held,,51-200 employees,", Microsoft SharePoint, Intranet, Extranet, , Web 2.0, Integración de Sistemas, Portales Web, Hybris, Liferay, Alfresco, Comercio Electrónico, Gestión de Conocimiento, Integración con el ERP, Soluciones para Dispositivos Móviles",0,,,,"Information Technology, E-Commerce, Information Services, , , E-Commerce Platforms",B2B B2C
